,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
74,周清利,男,汉族,01/10/1954,山东省,滨州市,惠民县,硕士,01/01/1975,退休,,,,,,,,,,,,,,,,,
75,曹学成,男,汉族,01/01/1947,山东省,泰安市,新泰市,硕士,01/01/1966,退休,,,,,,,,,,,,,,,,,
76,王伯祥,男,汉族,01/02/1943,山东省,潍坊市,寿光市,高中,01/12/1965,退休,,,,,,,,,,,,,,,,,
77,许立全,男,汉族,01/05/1955,山东省,聊城市,,博士,01/01/1982,在职,,,,,,,,,,,,,,,,,
78,刘曙光,男,汉族,01/11/1962,山东省,威海市,文登市,硕士,01/11/1984,在职,,,,,,,,,,,,,,,,,
79,李兆前,男,汉族,01/01/1962,山东省,青岛市,胶州市,博士,01/12/1984,在职,,,,,,,,,,,,,,,,,
80,杨军,男,汉族,01/11/1959,山东省,青岛市,,硕士,01/03/1983,在职,,,,,,,,,,,,,,,,,
81,赵效为,男,汉族,01/07/1957,山东省,菏泽市,鄄城县,博士,01/11/1976,在职,,,,,,,,,,,,,,,,,
82,李同道,男,汉族,01/04/1964,山东省,潍坊市,寿光市,博士,01/03/1989,在职,,,,,,,,,,,,,,,,,
83,谢玉堂,男,汉族,01/02/1946,山东省,烟台市,栖霞县,高中,01/06/1966,退休,,,,,,,,,,,,,,,,,
84,孙淑义,男,汉族,01/11/1945,山东省,济南市,商河县,专科,01/01/1971,降/辞/撤职,,否,违纪,,否,17/12/2009,中纪委,否,,,,,,,,,
85,胡苏平,女,汉族,01/08/1956,山西省,忻州市,五台县,博士,01/02/1975,在职,,,,,,,,,,,,,,,,,
86,黄有泉,男,汉族,01/04/1946,山西省,运城市,稷山县,专科,01/07/1966,退休,,,,,,,,,,,,,,,,,
87,白云,女,汉族,01/12/1960,山西省,忻州市,五台县,硕士,01/12/1979,立案查处,,是,贪污腐败,,否,29/08/2014,中纪委,是,受贿罪,人民币1700万,09/10/2016,江苏省,南通市,12年有期徒刑,否,,
88,张茂才,男,汉族,01/09/1954,山西省,忻州市,保德县,硕士,01/10/1974,在职,,,,,,,,,,,,,,,,,
89,高卫东,男,汉族,01/11/1957,山西省,吕梁市,离石区,硕士,01/06/1986,在职,,,,,,,,,,,,,,,,,
90,王守祯,男,汉族,01/11/1951,山西省,晋中市,寿阳县,硕士,01/01/1970,退休,,,,,,,,,,,,,,,,,
91,王安庞,男,汉族,01/05/1958,山西省,长治市,长子县,硕士,01/03/1978,在职,,,,,,,,,,,,,,,,,
92,张少农,男,汉族,01/07/1954,山西省,长治市,沁县,本科,01/03/1974,在职,,,,,,,,,,,,,,,,,
