编码,名称,上级编码,上级名称,起始日期,终止日期,别名编码,别名名称,级别
130702,桥东区,130700,张家口市,31/12/2002,31/08/2013,130702,桥东区,区县
130703,桥西区,130700,张家口市,31/12/2002,31/08/2013,130703,桥西区,区县
130705,宣化区,130700,张家口市,31/12/2002,31/08/2013,130705,宣化区,区县
130706,下花园区,130700,张家口市,31/12/2002,31/08/2013,130706,下花园区,区县
130721,宣化县,130700,张家口市,31/12/2002,31/08/2013,130721,宣化县,区县
130722,张北县,130700,张家口市,31/12/2002,31/08/2013,130722,张北县,区县
130723,康保县,130700,张家口市,31/12/2002,31/08/2013,130723,康保县,区县
130724,沽源县,130700,张家口市,31/12/2002,31/08/2013,130724,沽源县,区县
130725,尚义县,130700,张家口市,31/12/2002,31/08/2013,130725,尚义县,区县
130726,蔚县,130700,张家口市,31/12/2002,31/08/2013,130726,蔚县,区县
130727,阳原县,130700,张家口市,31/12/2002,31/08/2013,130727,阳原县,区县
130728,怀安县,130700,张家口市,31/12/2002,31/08/2013,130728,怀安县,区县
130729,万全县,130700,张家口市,31/12/2002,31/08/2013,130729,万全县,区县
130730,怀来县,130700,张家口市,31/12/2002,31/08/2013,130730,怀来县,区县
130731,涿鹿县,130700,张家口市,31/12/2002,31/08/2013,130731,涿鹿县,区县
130732,赤城县,130700,张家口市,31/12/2002,31/08/2013,130732,赤城县,区县
130733,崇礼县,130700,张家口市,31/12/2002,31/08/2013,130733,崇礼县,区县
130800,承德市,130000,河北省,31/12/2002,31/08/2013,130800,承德市,地级市（区）
130802,双桥区,130800,承德市,31/12/2002,31/08/2013,130802,双桥区,区县
130803,双滦区,130800,承德市,31/12/2002,31/08/2013,130803,双滦区,区县
130804,鹰手营子矿区,130800,承德市,31/12/2002,31/08/2013,130804,鹰手营子矿区,区县
130821,承德县,130800,承德市,31/12/2002,31/08/2013,130821,承德县,区县
130822,兴隆县,130800,承德市,31/12/2002,31/08/2013,130822,兴隆县,区县
130823,平泉县,130800,承德市,31/12/2002,31/08/2013,130823,平泉县,区县
130824,滦平县,130800,承德市,31/12/2002,31/08/2013,130824,滦平县,区县
130825,隆化县,130800,承德市,31/12/2002,31/08/2013,130825,隆化县,区县
130826,丰宁满族自治县,130800,承德市,31/12/2002,31/08/2013,130826,丰宁满族自治县,区县
130827,宽城满族自治县,130800,承德市,31/12/2002,31/08/2013,130827,宽城满族自治县,区县
130828,围场满族蒙古族自治县,130800,承德市,31/12/2002,31/08/2013,130828,围场满族蒙古族自治县,区县
130900,沧州市,130000,河北省,31/12/2002,31/08/2013,130900,沧州市,地级市（区）
130902,新华区,130900,沧州市,31/12/2002,31/08/2013,130902,新华区,区县
130903,运河区,130900,沧州市,31/12/2002,31/08/2013,130903,运河区,区县
130921,沧县,130900,沧州市,31/12/2002,31/08/2013,130921,沧县,区县
130922,青县,130900,沧州市,31/12/2002,31/08/2013,130922,青县,区县
130923,东光县,130900,沧州市,31/12/2002,31/08/2013,130923,东光县,区县
130924,海兴县,130900,沧州市,31/12/2002,31/08/2013,130924,海兴县,区县
130925,盐山县,130900,沧州市,31/12/2002,31/08/2013,130925,盐山县,区县
130926,肃宁县,130900,沧州市,31/12/2002,31/08/2013,130926,肃宁县,区县
130927,南皮县,130900,沧州市,31/12/2002,31/08/2013,130927,南皮县,区县
130928,吴桥县,130900,沧州市,31/12/2002,31/08/2013,130928,吴桥县,区县
130929,献县,130900,沧州市,31/12/2002,31/08/2013,130929,献县,区县
130930,孟村回族自治县,130900,沧州市,31/12/2002,31/08/2013,130930,孟村回族自治县,区县
130981,泊头市,130900,沧州市,31/12/2002,31/08/2013,130981,泊头市,区县
130982,任丘市,130900,沧州市,31/12/2002,31/08/2013,130982,任丘市,区县
130983,黄骅市,130900,沧州市,31/12/2002,31/08/2013,130983,黄骅市,区县
130984,河间市,130900,沧州市,31/12/2002,31/08/2013,130984,河间市,区县
131000,廊坊市,130000,河北省,31/12/2002,31/08/2013,131000,廊坊市,地级市（区）
131002,安次区,131000,廊坊市,31/12/2002,31/08/2013,131002,安次区,区县
