编码,名称,归属大类,别名,名称,别名归属大类
5720,通化市纺织厂,地方企业,5720,通化市纺织厂,地方企业
5721,通化市起重机械厂,地方企业,5721,通化市起重机械厂,地方企业
4616,办公厅/室（共青团）,共青团,4616,办公厅/室（共青团）,共青团
4617,实业发展部,共青团,4617,实业发展部,共青团
4618,学少部,共青团,4618,学少部,共青团
4619,学校工作部,共青团,4611,学校部,共青团
4620,研究室,共青团,4632,研究室（共青团）,共青团
3571,八道公社,基层组织,3571,八道公社,基层组织
3572,八郎乡,基层组织,3572,八郎乡,基层组织
3573,长发乡,基层组织,3573,长发乡,基层组织
3574,大绥河公社,基层组织,3574,大绥河公社,基层组织
3575,大同庄村,基层组织,3575,大同庄村,基层组织
3576,大阳公社,基层组织,3576,大阳公社,基层组织
3577,大榆树公社,基层组织,3577,大榆树公社,基层组织
3578,东盛涌乡,基层组织,3578,东盛涌乡,基层组织
3579,恩育公社、于家公社,基层组织,3579,恩育公社、于家公社,基层组织
3580,放牛沟公社,基层组织,3580,放牛沟公社,基层组织
3581,蛤蚂塘公社,基层组织,3581,蛤蚂塘公社,基层组织
3582,翰章公社,基层组织,3584,翰章乡,基层组织
3583,翰章公社新乡村委会,基层组织,3584,翰章乡,基层组织
3584,翰章乡,基层组织,3584,翰章乡,基层组织
3585,河湾子公社,基层组织,3585,河湾子公社,基层组织
3586,吉拉吐公社,基层组织,3586,吉拉吐公社,基层组织
3587,金祥乡,基层组织,3587,金祥乡,基层组织
3588,凉水镇,基层组织,3588,凉水镇,基层组织
3589,露水河林业局,基层组织,3589,露水河林业局,基层组织
3590,露水河镇,基层组织,3590,露水河镇,基层组织
3591,满井公社,基层组织,3591,满井公社,基层组织
3592,毛城子乡,基层组织,3592,毛城子乡,基层组织
3593,米沙子公社,基层组织,3593,米沙子公社,基层组织
3594,青山公社,基层组织,3594,青山公社,基层组织
3595,十里铺乡,基层组织,3595,十里铺乡,基层组织
3596,太平公社,基层组织,3596,太平公社,基层组织
3597,坦途公社,基层组织,3597,坦途公社,基层组织
3598,套保公社,基层组织,3598,套保公社,基层组织
3599,五棵树公社,基层组织,3599,五棵树公社,基层组织
3600,小孤山公社,基层组织,3600,小孤山公社,基层组织
3601,幸福公社,基层组织,3601,幸福公社,基层组织
3602,迎风乡、太平乡,基层组织,3602,迎风乡、太平乡,基层组织
3603,永安公社,基层组织,3603,永安公社,基层组织
7602,美国工程技术联合有限公司,其他,7602,美国工程技术联合有限公司,其他
6637,国家机关工会联合会,行业协会_人民团体,6637,国家机关工会联合会,行业协会_人民团体
2744,长白山保护开发管委会,政府_国务院,2744,长白山保护开发管委会,政府_国务院
2745,房产管理局,政府_国务院,2969,房地产管理局,政府_国务院
2746,防汛抗旱指挥部办公室,政府_国务院,2746,防汛抗旱指挥部办公室,政府_国务院
2747,国防工办,政府_国务院,2829,国防工业办公室,政府_国务院
2748,机械电子工业厅,政府_国务院,2834,机械电子工业部/厅/局（88-93存在）,政府_国务院
2749,经济委员会,政府_国务院,2749,经济委员会,政府_国务院
2750,牧业局,政府_国务院,2750,牧业局,政府_国务院
2751,农牧业厅/局,政府_国务院,2751,农牧业厅/局,政府_国务院
2752,轻化工业局,政府_国务院,2752,轻化工业局,政府_国务院
2753,食品安全委员会办公室,政府_国务院,2783,食品药品监督管理局/食品安全委员会,政府_国务院
2754,乡镇企业局,政府_国务院,2754,乡镇企业局,政府_国务院
1429,政治部,党委,1429,政治部,党委
2756,重大项目办公室,政府_国务院,2756,重大项目办公室,政府_国务院
2757,驻广州办事处,政府_国务院,2757,驻广州办事处,政府_国务院
2759,物价局,政府_国务院,2847,物价局（国家/地方）,政府_国务院
1370,高校工委,党委,1370,高校工委,党委
1371,教育工委,党委,1420,教育工作委员会,党委
1372,经贸工委,党委,1372,经贸工委,党委
5775,北京第一机床厂,地方企业,5775,北京第一机床厂,地方企业
5722,沧州市化工冶金试验厂,地方企业,5722,沧州市化工冶金试验厂,地方企业
5723,沧州市造纸厂,地方企业,5723,沧州市造纸厂,地方企业
5724,承德钢铁厂,地方企业,5724,承德钢铁厂,地方企业
5725,承德玛钢厂,地方企业,5725,承德玛钢厂,地方企业
5726,承德市机械公司,地方企业,5726,承德市机械公司,地方企业
5727,承德造纸厂,地方企业,5727,承德造纸厂,地方企业
5728,大厂磷肥厂,地方企业,5728,大厂磷肥厂,地方企业
5729,大厂县食品公司,地方企业,5729,大厂县食品公司,地方企业
5730,倒拉嘴公社卫生院制药厂,地方企业,3613,倒拉嘴公社,基层组织
5731,东平化肥厂,地方企业,5731,东平化肥厂,地方企业
